Date,Health Zone,Province,Confirmed Cases,Confirmed Deaths
6/9/2026,Rimba,Ituri,3,0
6/9/2026,Rwampara,Ituri,133,25
6/9/2026,Tchomia,Ituri,2,0
6/10/2026,Aru,Ituri,3,1
6/10/2026,Aungba,Ituri,2,1
6/10/2026,Bambu,Ituri,7,2
6/10/2026,Beni,Nord-Kivu,9,7
6/10/2026,Bunia,Ituri,185,17
6/10/2026,Butembo,Nord-Kivu,9,5
6/10/2026,Damas,Ituri,3,0
6/10/2026,Gety,Ituri,1,0
6/10/2026,Goma,Nord-Kivu,1,0
6/10/2026,Kalunguta,Nord-Kivu,1,1
6/10/2026,Kambala,Ituri,1,1
6/10/2026,Katwa,Nord-Kivu,18,10
6/10/2026,Kilo,Ituri,4,1
6/10/2026,Komanda,Ituri,3,0
6/10/2026,Kyondo,Nord-Kivu,2,0
6/10/2026,Lita,Ituri,6,0
6/10/2026,Logo,Ituri,2,0
6/10/2026,Mambasa,Ituri,2,1
6/10/2026,Mangala,Ituri,2,0
6/10/2026,Masereka,Nord-Kivu,1,0
6/10/2026,Miti-Murhesa,Sud-Kivu,3,1
6/10/2026,Mongbwalu,Ituri,132,49
6/10/2026,Nizi,Ituri,7,0
6/10/2026,Nyankunde,Ituri,33,1
6/10/2026,Oicha,Nord-Kivu,2,2
6/10/2026,Rimba,Ituri,3,0
6/10/2026,Rwampara,Ituri,137,25
6/10/2026,Tchomia,Ituri,2,0
6/10/2026,Vuhovi,Nord-Kivu,1,1
6/11/2026,Aru,Ituri,3,1
6/11/2026,Aungba,Ituri,2,1
6/11/2026,Bambu,Ituri,7,2
6/11/2026,Beni,Nord-Kivu,9,5
6/11/2026,Bunia,Ituri,191,17
6/11/2026,Butembo,Nord-Kivu,7,5
6/11/2026,Damas,Ituri,3,0
6/11/2026,Gety,Ituri,1,0
6/11/2026,Goma,Nord-Kivu,1,1
6/11/2026,Kalunguta,Nord-Kivu,1,1
6/11/2026,Kambala,Ituri,1,1
6/11/2026,Katwa,Nord-Kivu,16,9
6/11/2026,Kilo,Ituri,4,1
6/11/2026,Komanda,Ituri,3,0
6/11/2026,Kyondo,Nord-Kivu,2,2
6/11/2026,Lita,Ituri,6,0
6/11/2026,Logo,Ituri,2,0
6/11/2026,Mambasa,Ituri,2,1
6/11/2026,Mangala,Ituri,2,0
6/11/2026,Masereka,Nord-Kivu,1,1
6/11/2026,Miti-Murhesa,Sud-Kivu,3,1
6/11/2026,Mongbwalu,Ituri,136,52
6/11/2026,Nizi,Ituri,9,1
6/11/2026,Nyankunde,Ituri,33,1
6/11/2026,Oicha,Nord-Kivu,2,2
6/11/2026,Rimba,Ituri,3,0
6/11/2026,Rwampara,Ituri,142,26
6/11/2026,Tchomia,Ituri,2,0
6/11/2026,Vuhovi,Nord-Kivu,1,1
6/13/2026,Aru,Ituri,3,1
6/13/2026,Aungba,Ituri,2,1
6/13/2026,Bambu,Ituri,7,2
6/13/2026,Beni,Nord-Kivu,14,10
6/13/2026,Bunia,Ituri,212,20
6/13/2026,Butembo,Nord-Kivu,18,7
6/13/2026,Damas,Ituri,4,0
6/13/2026,Gety,Ituri,1,0
6/13/2026,Goma,Nord-Kivu,1,0
6/13/2026,Kalunguta,Nord-Kivu,1,1
6/13/2026,Kambala,Ituri,1,1
6/13/2026,Katwa,Nord-Kivu,21,12
6/13/2026,Kilo,Ituri,4,1
6/13/2026,Komanda,Ituri,6,0
6/13/2026,Kyondo,Nord-Kivu,2,1
6/13/2026,Lita,Ituri,6,0
6/13/2026,Logo,Ituri,2,0
6/13/2026,Mabalako,Nord-Kivu,1,0
6/13/2026,Mambasa,Ituri,2,1
6/13/2026,Mangala,Ituri,5,3
6/13/2026,Masereka,Nord-Kivu,1,0
6/13/2026,Miti-Murhesa,Sud-Kivu,3,1
6/13/2026,Mongbwalu,Ituri,164,73
6/13/2026,Nia-Nia,Ituri,1,1
6/13/2026,Nizi,Ituri,11,1
6/13/2026,Nyankunde,Ituri,38,4
6/13/2026,Oicha,Nord-Kivu,2,2
6/13/2026,Rimba,Ituri,3,0
6/13/2026,Rwampara,Ituri,149,27
6/13/2026,Tchomia,Ituri,2,0
6/13/2026,Vuhovi,Nord-Kivu,1,1
6/14/2026,Aru,Ituri,3,1
6/14/2026,Aungba,Ituri,2,1
6/14/2026,Bambu,Ituri,7,2
6/14/2026,Beni,Nord-Kivu,14,10
6/14/2026,Bunia,Ituri,215,20
6/14/2026,Butembo,Nord-Kivu,19,7
6/14/2026,Damas,Ituri,4,0
6/14/2026,Gety,Ituri,1,0
6/14/2026,Goma,Nord-Kivu,1,0
6/14/2026,Kalunguta,Nord-Kivu,1,1
6/14/2026,Kambala,Ituri,1,1
6/14/2026,Katwa,Nord-Kivu,25,16
6/14/2026,Kilo,Ituri,4,1
6/14/2026,Komanda,Ituri,6,0
6/14/2026,Kyondo,Nord-Kivu,2,1
6/14/2026,Lita,Ituri,6,0
6/14/2026,Logo,Ituri,2,0
6/14/2026,Mabalako,Nord-Kivu,1,0
6/14/2026,Mambasa,Ituri,2,1
6/14/2026,Mangala,Ituri,5,3
6/14/2026,Masereka,Nord-Kivu,1,0
6/14/2026,Miti-Murhesa,Sud-Kivu,3,1
6/14/2026,Mongbwalu,Ituri,175,80
6/14/2026,Nia-Nia,Ituri,1,1
6/14/2026,Nizi,Ituri,11,1
6/14/2026,Nyankunde,Ituri,42,4
6/14/2026,Oicha,Nord-Kivu,2,2
6/14/2026,Rimba,Ituri,3,0
6/14/2026,Rwampara,Ituri,152,27
6/14/2026,Tchomia,Ituri,2,0
6/14/2026,Vuhovi,Nord-Kivu,1,1
6/15/2026,Aru,Ituri,3,1
6/15/2026,Aungba,Ituri,2,1
6/15/2026,Bambu,Ituri,7,2
6/15/2026,Beni,Nord-Kivu,14,10
6/15/2026,Bunia,Ituri,215,20
6/15/2026,Butembo,Nord-Kivu,19,7
6/15/2026,Damas,Ituri,4,0
6/15/2026,Gety,Ituri,1,0
6/15/2026,Goma,Nord-Kivu,1,0
6/15/2026,Kalunguta,Nord-Kivu,1,1
6/15/2026,Kambala,Ituri,1,1
